iter	Passed	Remaining
0	218	109183
1	273	68185
2	322	53369
3	360	44731
4	402	39819
5	446	36750
6	491	34611
7	529	32573
8	571	31158
9	614	30099
10	651	28947
11	690	28098
12	727	27253
13	765	26586
14	803	25985
15	839	25395
16	874	24838
17	914	24493
18	954	24164
19	992	23814
20	1033	23566
21	1075	23375
22	1116	23163
23	1155	22925
24	1194	22699
25	1235	22517
26	1271	22282
27	1309	22079
28	1351	21946
29	1388	21755
30	1425	21563
31	1466	21444
32	1503	21279
33	1538	21086
34	1572	20896
35	1607	20713
36	1640	20525
37	1676	20382
38	1716	20288
39	1750	20132
40	1784	19973
41	1817	19818
42	1850	19669
43	1884	19532
44	1918	19395
45	1950	19253
46	1984	19123
47	2017	19000
48	2049	18865
49	2083	18750
50	2116	18636
51	2149	18521
52	2183	18414
53	2215	18302
54	2249	18199
55	2282	18096
56	2316	18001
57	2349	17904
58	2382	17806
59	2414	17707
60	2448	17619
61	2482	17535
62	2516	17454
63	2553	17396
64	2592	17349
65	2630	17294
66	2665	17223
67	2699	17151
68	2735	17088
69	2773	17037
70	2808	16969
71	2843	16903
72	2878	16836
73	2911	16762
74	2947	16699
75	2980	16630
76	3016	16570
77	3050	16503
78	3084	16436
79	3119	16378
80	3155	16320
81	3192	16273
82	3228	16220
83	3261	16154
84	3296	16095
85	3329	16030
86	3363	15968
87	3396	15903
88	3430	15840
89	3464	15783
90	3498	15723
91	3530	15658
92	3562	15592
93	3596	15534
94	3630	15476
95	3662	15413
96	3695	15352
97	3728	15293
98	3761	15235
99	3795	15181
100	3828	15125
101	3861	15068
102	3893	15007
103	3935	14986
104	3969	14932
105	4002	14877
106	4034	14817
107	4066	14761
108	4099	14705
109	4132	14650
110	4164	14593
111	4196	14539
112	4229	14483
113	4261	14427
114	4293	14374
115	4326	14323
116	4358	14268
117	4390	14214
118	4408	14115
119	4441	14064
120	4473	14011
121	4507	13965
122	4539	13913
123	4572	13863
124	4604	13812
125	4637	13766
126	4671	13719
127	4703	13670
128	4737	13624
129	4770	13578
130	4803	13529
131	4835	13480
132	4867	13430
133	4899	13382
134	4932	13336
135	4965	13289
136	4998	13243
137	5030	13195
138	5063	13150
139	5096	13104
140	5130	13061
141	5166	13025
142	5202	12989
143	5242	12960
144	5275	12917
145	5311	12877
146	5344	12834
147	5378	12792
148	5415	12757
149	5452	12723
150	5486	12680
151	5522	12642
152	5557	12604
153	5591	12561
154	5624	12519
155	5661	12483
156	5697	12448
157	5732	12408
158	5769	12374
159	5804	12333
160	5838	12293
161	5858	12223
162	5892	12182
163	5925	12140
164	5958	12098
165	5991	12054
166	5996	11957
167	6029	11915
168	6111	11969
169	6153	11944
170	6187	11904
171	6220	11862
172	6252	11818
173	6286	11779
174	6319	11735
175	6351	11691
176	6369	11623
177	6402	11582
178	6436	11542
179	6468	11499
180	6503	11461
181	6535	11419
182	6569	11379
183	6608	11349
184	6641	11308
185	6672	11265
186	6704	11221
187	6736	11180
188	6770	11140
189	6803	11100
190	6836	11059
191	6870	11021
192	6904	10983
193	6937	10943
194	6970	10902
195	7002	10861
196	7012	10786
197	7045	10746
198	7078	10706
199	7110	10666
200	7143	10626
201	7175	10585
202	7208	10545
203	7240	10506
204	7275	10469
205	7294	10410
206	7327	10371
207	7361	10334
208	7396	10298
209	7417	10243
210	7451	10206
211	7485	10169
212	7519	10131
213	7555	10097
214	7591	10062
215	7651	10060
216	7688	10027
217	7727	9995
218	7764	9963
219	7802	9930
220	7863	9927
221	7902	9895
222	7953	9879
223	7990	9846
224	8031	9816
225	8072	9787
226	8113	9757
227	8150	9723
228	8187	9689
229	8228	9659
230	8269	9630
231	8320	9611
232	8372	9594
233	8422	9574
234	8468	9549
235	8519	9530
236	8563	9502
237	8596	9463
238	8634	9429
239	8671	9394
240	8706	9356
241	8740	9318
242	8777	9282
